Title,Studio,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,OpeningDate,Director,MainActor,Rating,Genre,Month
Rambo,LGF,42754105,2764,18203876,2751,1/25/2008,Sylvester Stallone,Sylvester Stallone,6,Action,1
Random Hearts,Sony,31502583,2697,13012585,2697,10/8/1999,Sydney Pollack,Harrison Ford,5,Drama,10
Rango,Par.,123477607,3923,38079323,3917,3/4/2011,Gore Verbinski,Johnny Depp,7,Animation,3
Rat Race,Par.,56618055,2551,11662094,2550,8/17/2001,Jerry Zucker,Breckin Meyer,6,Adventure,8
Ratatouille,BV,206445654,3940,47027395,3940,6/29/2007,Brad Bird,Patton Oswalt,8,Animation,6
Ray,Uni.,75331600,2474,20039730,2006,10/29/2004,Taylor Hackford,Jamie Foxx,7,Drama,10
Ready Player One,WB,137690172,4234,41764050,4234,3/29/2018,Steven Spielberg,Tye Sheridan,8,Adventure,3
Real Steel,BV,85468508,3440,27319677,3440,10/7/2011,Shawn Levy,Hugh Jackman,7,Action,10
Red,Sum.,90380162,3349,21761408,3255,10/15/2010, Robert Schwentke," 
Bruce Willis",7,Drama,10
Red 2,LG/S,53262560,3016,18048422,3016,7/19/2013,Dean Parisot,Bruce Willis,7,Action,7
Red Dragon,Uni.,93149898,3363,36540945,3357,10/4/2002,Brett Ratner,Anthony Hopkins,7,Crime,10
Red Eye,DW,57891803,3134,16167662,3079,8/19/2005,Wes Craven,Rachel McAdams,4,Horror,8
Red Riding Hood,WB,37662162,3030,14005335,3030,3/11/2011,Catherine Hardwicke,Amanda Seyfried,7,Horror,3
Red Sparrow,Fox,46874505,3064,16853422,3056,3/2/2018,Francis Lawrence,Jennifer Lawrence,7,Mystery,3
Red Tails,Fox,49876377,2573,18782154,2512,1/20/2012,Anthony Hemingway,Cuba Gooding Jr.,6,Drama,1
Reign of Fire,BV,43061982,2629,15632281,2629,7/12/2002,Rob Bowman,Matthew McConaughey,6,Adventure,7
Reindeer Games,Mira.,23368995,2204,8128356,2204,2/25/2000,John Frankenheimer,Ben Affleck,6,Thriller,2
Remember the Titans,BV,115654751,2803,20905831,1865,9/29/2000,Boaz Yakin,Denzel Washington,8,Drama,9
Rent,SonR,29077547,2437,10016021,2433,11/23/2005,Chris Columbus,Taye Diggs,7,Drama,11
Resident Evil,SGem,40119709,2528,17707106,2528,3/15/2002,Paul W.S. Anderson,Milla Jovovich,7,Horror,3
Resident Evil: Afterlife,SGem,60128566,3209,26650264,3203,9/10/2010,Paul W. S. Anderson," 
Milla Jovovich",6,Action,9
Resident Evil: Apocalypse,SGem,51201453,3284,23036273,3284,9/10/2004,Alexander Witt,Milla Jovovich,6,Horror,9
Resident Evil: Extinction,SGem,50648679,2848,23678580,2828,9/21/2007,Russell Mulcahy,Milla Jovovich,6,Horror,9
Resident Evil: Retribution,SGem,42345531,3016,21052227,3012,9/14/2012,Paul W.S. Anderson,Milla Jovovich,6,Action,9
Resident Evil: The Final Chapter,SGem,26830068,3104,13601682,3104,1/27/2017,Paul W.S. Anderson,Milla Jovovich,6,Action,1
Return to Me,MGM,32722798,2320,7820836,2007,4/7/2000,Bonnie Hunt,David Duchovny,6,Romance,4
Return to Never Land,BV,48430258,2626,11889631,2605,2/15/2002,Robin Budd,Blayne Weaver,6,Adventure,2
Ricki and the Flash,TriS,26822144,2064,6610961,1603,8/7/2015,Jonathan Demme,Meryl Streep,6,Comedy,8
Riddick,Uni.,42025135,3117,19030375,3107,9/6/2013,David Twohy,Vin Diesel,6,Science Fiction,9
Ride Along,Uni.,134938200,2867,41516170,2663,1/17/2014,Tim Story,Ice Cube,6,Action,1
Ride Along 2,Uni.,91221830,3192,35243095,3175,1/15/2016,Tim Story,Ice Cube,6,Action,1
Riding in Cars with Boys,Sony,30165536,2770,10404652,2770,10/19/2001,Penny Marshall,Drew Barrymore,7,Comedy,10
Righteous Kill,Over.,40081410,3152,16288361,3152,9/12/2008,Jon Avnet," 
Robert De Niro",6,Action,9
Rings,Par.,27793018,2931,13002632,2931,2/3/2017,F. Javier Gutiérrez,Matilda Anna Ingrid Lutz,6,Horror,2
Rio,Fox,143619809,3842,39225962,3826,4/15/2011,Carlos Saldanha,Jesse Eisenberg,7,Animation,4
Rio 2,Fox,131538435,3975,39327869,3948,4/11/2014,Carlos Saldanha,Jesse Eisenberg,6,Adventure,4
Rise of the Guardians,P/DW,103412758,3672,23773465,3653,11/21/2012,Peter Ramsey,Hugh Jackman,7,Animation,11
Rise of the Planet of the Apes,Fox,176760185,3691,54806191,3648,8/5/2011,Rupert Wyatt,James Franco,7,Thriller,8
Risen,Sony,36880033,2915,11801271,2915,2/19/2016,Kevin Reynolds,Joseph Fiennes,6,Horror,2
Road to Perdition,DW,104454762,2332,22079481,1797,7/12/2002,Sam Mendes,Tom Hanks,7,Crime,7
Road Trip,DW,68540777,2654,15484004,2530,5/19/2000,Todd Phillips,Breckin Meyer,6,Comedy,5
Robin Hood,Uni.,105269730,3505,36063385,3503,5/14/2010, Ridley Scott," 
Russell Crowe",6,Action,5
Robots,Fox,128200012,3776,36045301,3776,3/11/2005,Chris Wedge,Ewan McGregor,6,Animation,3
Rock of Ages,WB (NL),38518613,3470,14437269,3470,6/15/2012,Adam Shankman,Julianne Hough,6,Comedy,6
Rocky Balboa,MGM,70270943,3019,12158168,3017,12/20/2006,Sylvester Stallone,Sylvester Stallone,7,Drama,12
Rogue One: A Star Wars Story,BV,532177324,4157,155081681,4157,12/16/2016,Gareth Edwards,Felicity Jones,8,Action,12
Role Models,Uni.,67294270,2798,19167085,2792,11/7/2008, David Wain,Seann William Scott,6,Comedy,11
Romeo Must Die,WB,55973336,2641,18014503,2641,3/22/2000,Andrzej Bartkowiak,Jet Li,6,Action,3
Rough Night,Sony,22105643,3162,8004283,3162,6/16/2017,Lucia Aniello,Scarlett Johansson,6,Drama,6
Rugrats Go Wild,Par.,39402572,3041,11556869,3041,6/13/2003,John Eng,Jodi Carlisle,6,Animation,6
Rugrats in Paris: The Movie,Par.,76507756,2937,22718184,2934,11/17/2000,Stig Bergqvist,Christine Cavanaugh,6,Adventure,11
Rules of Engagement,Par.,61335230,3220,15011181,3155,4/7/2000,William Friedkin,Tommy Lee Jones,6,Action,4
Run All Night,WB,26461644,3171,11012305,3171,3/13/2015,Jaume Collet-Serra,Liam Neeson,6,Action,3
Runaway Bride,Par.,152257509,3240,35055556,3158,7/30/1999,Michael Crichton,Tom Selleck,6,Comedy,7
Runaway Jury,Fox,49443628,2815,11836705,2815,10/17/2003,Gary Fleder,John Cusack,7,Drama,10
Rush Hour 2,NL,226164286,3118,67408222,3118,8/3/2001,Brett Ratner,Jackie Chan,7,Action,8
Rush Hour 3,NL,140125968,3778,49100158,3778,8/10/2007,Brett Ratner,Jackie Chan,6,Action,8
RV,Sony,71726025,3651,16414767,3639,4/28/2006,Barry Sonnenfeld,Robin Williams,6,Comedy,4
S.W.A.T.,Sony,116934650,3220,37062535,3202,8/8/2003,Clark Johnson,Samuel L. Jackson,6,Action,8
Safe Haven,Rela.,71349120,3223,21401594,3223,2/14/2013,Lasse Hallström,Julianne Hough,7,Romance,2
Safe House,Uni.,126373434,3121,40172720,3119,2/10/2012,Daniel Espinosa,Denzel Washington,6,Thriller,2
Sahara,Par.,68671925,3200,18068372,3154,4/8/2005,Breck Eisner,Matthew McConaughey,6,Action,4
Salt,Sony,118311368,3612,36011243,3612,7/23/2010,Phillip Noyce,Angelina Jolie,6,Drama,7
San Andreas,WB (NL),155190832,3812,54588173,3777,5/29/2015,Brad Peyton,Dwayne Johnson,6,Action,5
Sausage Party,Sony,97685686,3135,34263534,3103,8/12/2016,Greg Tiernan,Seth Rogen,6,Adventure,8
Save the Last Dance,Par.,91057006,2570,23444930,2230,1/12/2001,Thomas Carter,Julia Stiles,6,Drama,1
Saving Mr. Banks,BV,83301580,2671,413373,15,12/13/2013,John Lee Hancock,Emma Thompson,7,Comedy,12
Saw,Lions,55185045,2467,18276468,2315,10/29/2004,James Wan,Cary Elwes,7,Crime,10
Saw II,Lions,87039965,2949,31725652,2949,10/28/2005,Darren Lynn Bousman,Donnie Wahlberg,7,Horror,10
Saw III,LGF,80238724,3167,33610391,3167,10/27/2006,Darren Lynn Bousman,Tobin Bell,6,Horror,10
Saw IV,LGF,63300095,3183,31756764,3183,10/26/2007,Darren Lynn Bousman,Tobin Bell,6,Horror,10
Saw V,LGF,56746769,3084,30053954,3060,10/24/2008, David Hackl, Tobin Bell,6,Horror,10
Saw VI,LGF,27693292,3036,14118444,3036,10/23/2009,Kevin Greutert, Tobin Bell,6,Horror,10
Scary Movie,Mira.,157019771,3301,42346669,2912,7/7/2000,Keenen Ivory Wayans,Anna Faris,6,Comedy,7
Scary Movie 2,Mira.,71308997,3220,20503356,3220,7/4/2001,Keenen Ivory Wayans,Anna Faris,6,Comedy,7
Scary Movie 3,Dim.,110003217,3505,48113770,3505,10/24/2003,David Zucker,Anna Faris,6,Comedy,10
Scary Movie 4,W/Dim.,90710620,3674,40222875,3602,4/14/2006,David Zucker,Anna Faris,5,Comedy,4
Scary Movie 5,W/Dim.,32015787,3402,14157367,3402,4/12/2013,Malcolm D. Lee,Simon Rex,5,Comedy,4
School of Rock,Par.,81261177,2951,19622714,2614,10/3/2003,Richard Linklater,Jack Black,7,Comedy,10
Scooby-Doo,WB,153294164,3447,54155312,3447,6/14/2002,Raja Gosnell,Matthew Lillard,6,Mystery,6
Scooby-Doo 2: Monsters Unleashed,WB,84216833,3312,29438331,3312,3/26/2004,Raja Gosnell,Freddie Prinze Jr.,6,Mystery,3
Scott Pilgrim vs. the World,Uni.,31524275,2820,10609795,2818,8/13/2010, Edgar Wright," 
Michael Cera",7,Action,8
Scream 3,Dim.,89143175,3467,34713342,3467,2/4/2000,Wes Craven,David Arquette,6,Horror,2
Scream 4,W/Dim.,38180928,3314,18692090,3305,4/15/2011,Wes Craven,Neve Campbell,6,Horror,4
Seabiscuit,Uni.,120277854,2573,20854735,1989,7/25/2003,Gary Ross,Tobey Maguire,7,Drama,7
Searching,SGem,26020957,2009,388769,9,8/24/2018,Aneesh Chaganty,John Cho,8,Drama,8
Second Act,STX,39282227,2607,6489983,2607,12/21/2018,Peter Segal,Jennifer Lopez,6,Romance,12
Secondhand Lions,NL,42070939,3038,12139832,3013,9/19/2003,Tim McCanlies,Haley Joel Osment,7,Comedy,9
Secret Window,Sony,48022900,3018,18237568,3018,3/12/2004,David Koepp,Johnny Depp,7,Mystery,3
Secretariat,BV,59713955,3108,12694770,3072,10/8/2010,Randall Wallace, Diane Lane,7,Drama,10
See Spot Run,WB,33357476,2656,9715102,2656,3/2/2001,John Whitesell,David Arquette,5,Action,3
Selma,Par.,52076908,2235,571450,19,12/25/2014,Ava DuVernay,David Oyelowo,7,History,12
Semi-Pro,NL,33479698,3121,15075114,3121,2/29/2008, Kent Alterman, Will Ferrell,6,Comedy,2
Serendipity,Mira.,50294317,2610,13309241,2601,10/5/2001,Peter Chelsom,John Cusack,7,Comedy,10
Serenity,Uni.,25514517,2189,10086680,2188,9/30/2005,Joss Whedon,Nathan Fillion,7,Science Fiction,9
Seven Pounds,Sony,69951824,2758,14851136,2758,12/19/2008, Gabriele Muccino," 
Will Smith",8,Drama,12
Sex and the City,WB (NL),152647258,3325,57038404,3285,5/30/2008, Sarah Jessica Parker,Sarah Jessica Parker,6,Comedy,5
Sex and the City 2,WB (NL),95347692,3445,31001870,3445,5/27/2010,Michael Patrick King," 
Sarah Jessica Parker",6,Comedy,5
Sex Tape,Sony,38543473,3062,14608152,3062,7/18/2014,Jake Kasdan,Jason Segel,5,Comedy,7
Shaft,Par.,70334258,2433,21714757,2337,6/16/2000,John Singleton,Samuel L. Jackson,6,Action,6
Shallow Hal,Fox,70839203,2799,22518295,2770,11/9/2001,Bobby Farrelly,Jack Black,6,Comedy,11
Shanghai Knights,BV,60476872,2755,19603630,2753,2/7/2003,David Dobkin,Jackie Chan,6,Action,2
Shanghai Noon,BV,56937502,2751,15607034,2711,5/26/2000,Tom Dey,Jackie Chan,6,Adventure,5
Shark Tale,DW,160861908,4070,47604606,4016,10/1/2004,Bibo Bergeron,Will Smith,6,Animation,10
Sherlock Gnomes,Par.,43242871,3662,10604774,3662,3/23/2018,John Stevenson,Johnny Depp,5,Romance,3
Sherlock Holmes,WB,209028679,3626,62304277,3626,12/25/2009,Guy Ritchie, Robert Downey Jr.,7,Action,12
Sherlock Holmes: A Game of Shadows,WB,186848418,3703,39637079,3703,12/16/2011,Guy Ritchie,Robert Downey Jr.,7,Adventure,12
Shooter,Par.,47003582,2806,14523571,2806,3/23/2007,Antoine Fuqua,Mark Wahlberg,7,Action,3
Showtime,WB,38082712,2917,15011430,2917,3/15/2002,Tom Dey,Robert De Niro,5,Action,3
Shrek,DW,267665011,3715,42347760,3587,5/16/2001,Andrew Adamson,Mike Myers,8,Adventure,5
Shrek 2,DW,441226247,4223,108037878,4163,5/19/2004,Andrew Adamson,Mike Myers,7,Adventure,5
Shrek Forever After,P/DW,238736787,4386,70838207,4359,5/21/2010,Mike Mitchell,Mike Myers,6,Comedy,5
Shrek the Third,P/DW,322719944,4172,121629270,4122,5/18/2007,Chris Miller,Mike Myers,6,Fantasy,5
Shutter Island,Par.,128012934,3356,41062440,2991,2/19/2010,Martin Scorsese," 
Leonardo DiCaprio",8,Drama,2
Sicario,LGF,46889293,2620,401288,6,9/18/2015,Denis Villeneuve,Emily Blunt,7,Action,9
Sicario: Day of the Soldado,Sony,50072235,3055,19007566,3055,6/29/2018,Stefano Sollima,Benicio Del Toro,7,Action,6
Sicko,LGF,24540079,1117,68969,1,6/22/2007,Michael Moore,Michael Moore,7,Documentary,6
Sideways,FoxS,71503593,1786,207042,4,10/22/2004,Alexander Payne,Paul Giamatti,7,Comedy,10
Signs,BV,227966634,3453,60117080,3264,8/2/2002,M. Night Shyamalan,Mel Gibson,7,Drama,8
Silent Hill,Sony,46982632,2932,20152598,2926,4/21/2006,Christophe Gans,Radha Mitchell,6,Horror,4
Silver Linings Playbook,Wein.,132092958,2809,443003,16,11/16/2012,David O. Russell,Bradley Cooper,7,Drama,11
Sin City,Dim.,74103820,3230,29120273,3230,4/1/2005,Frank Miller,Mickey Rourke,7,Action,4
Sinbad: Legend of the Seven Seas,DW,26483452,3086,6874477,3086,7/2/2003,Patrick Gilmore,Brad Pitt,7,Family,7
Sing,Uni.,270395425,4029,35258145,4022,12/21/2016,Garth Jennings,Matthew McConaughey,8,Drama,12
Sinister,LG/S,48086903,2542,18007634,2527,10/12/2012,Scott Derrickson,Ethan Hawke,4,Mystery,10
Sinister 2,Focus,27740955,2799,10542116,2766,8/21/2015,Ciarán Foy,James Ransone,6,Horror,8
Sisters,Uni.,87044645,2978,13922855,2962,12/18/2015,Jason Moore,Amy Poehler,7,Crime,12
Sky Captain and the World of Tomorrow,Par.,37762677,3170,15580278,3170,9/17/2004,Kerry Conran,Gwyneth Paltrow,6,Mystery,9
Sky High,BV,63946815,2912,14631784,2905,7/29/2005,Mike Mitchell,Kurt Russell,6,Action,7
Skyfall,Sony,304360277,3526,88364714,3505,11/9/2012,Sam Mendes,Daniel Craig,7,Action,11
Skyscraper,Uni.,68420120,3822,24905015,3782,7/13/2018,Rawson Marshall Thurber,Dwayne Johnson,6,Comedy,7
Sleepy Hollow,Par.,101071502,3069,30060467,3064,11/19/1999,Tim Burton,Johny Depp,7,Drama,11
Slender Man,SGem,30569484,2358,11371866,2358,8/10/2018,Sylvain White,Joey King,4,Mystery,8
Slumdog Millionaire,FoxS,141319928,2943,360018,10,11/12/2008, Danny Boyle, Dev Patel,8,Drama,11
Smallfoot,WB,83240103,4131,23045635,4131,9/28/2018,Karey Kirkpatrick,Channing Tatum,7,Animation,9
Smurfs: The Lost Village,Sony,45020282,3610,13210449,3610,4/7/2017,Kelly Asbury,Demi Lovato,6,Adventure,4
Snakes on a Plane,NL,34020814,3555,13806311,3555,8/18/2006,David R. Ellis,Samuel L. Jackson,5,Action,8
Snatch,SGem,30328156,1444,27932,1,12/8/2000,Guy Ritchie,Jason Statham,8,Thriller,12
Snatched,Fox,45852178,3511,19542248,3501,5/12/2017,Jonathan Levine,Amy Schumer,4,Comedy,5
Snitch,LG/S,42930462,2511,13167607,2511,2/22/2013,Ric Roman Waugh,Dwayne Johnson,6,Thriller,2
Snow Day,Par.,60020107,2717,14331819,2664,2/11/2000,Chris Koch,Chevy Chase,5,Comedy,2
Snow Dogs,BV,81172560,2454,17814259,2302,1/18/2002,Brian Levant,Cuba Gooding Jr.,5,Adventure,1
Snow Falling on Cedars,Uni.,14417593,1155,32135,3,12/22/1999,Scott Hicks,Ethan Hawke,6,Drama,12
Snow White and the Huntsman,Uni.,155332381,3777,56217700,3773,6/1/2012,Rupert Sanders,Kristen Stewart,6,Adventure,6
Solo: A Star Wars Story,BV,213767512,4381,84420489,4381,5/25/2018,Ron Howard,Alden Ehrenreich,7,Action,5
Something Borrowed,WB,39046489,2904,13945368,2904,5/6/2011,Luke Greenfield,Ginnifer Goodwin,6,Comedy,5
Son of God,Fox,59700064,3271,25601865,3260,2/28/2014,Christopher Spencer,Diogo Morgado,6,Drama,2
Soul Surfer,TriS,43853424,2240,10601862,2214,4/8/2011,Sean McNamara,AnnaSophia Robb,7,Family,4
Source Code,Sum.,54712227,2971,14812094,2961,4/1/2011,Duncan Jones,Jake Gyllenhaal,7,Thriller,4
Southpaw,Wein.,52421953,2772,16701294,2772,7/24/2015,Antoine Fuqua,Jake Gyllenhaal,7,Action,7
Space Chimps,Fox,30105968,2538,7181374,2511,7/18/2008,Kirk DeMicco," 
Andy Samberg",5,Animation,7
Space Cowboys,WB,90464773,2835,18093776,2805,8/4/2000,Clint Eastwood,Clint Eastwood,6,Action,8
Spanglish,Sony,42726869,2587,8817853,2438,12/17/2004,James L. Brooks,Adam Sandler,6,Comedy,12
Spectre,Sony,200074609,3929,70403148,3929,11/6/2015,Sam Mendes,Daniel Craig,6,Drama,11
Speed Racer,WB,43945766,3606,18561337,3606,5/9/2008,The Wachowskis," 
Emile Hirsch",6,Family,5
Spider-Man,Sony,403706375,3876,114844116,3615,5/3/2002,Sam Raimi,Tobey Maguire,7,Fantasy,5
Spider-Man 2,Sony,373585825,4166,88156227,4152,6/30/2004,Sam Raimi,Tobey Maguire,7,Action,6
Spider-Man 3,Sony,336530303,4324,151116516,4252,5/4/2007,Sam Raimi,Tobey Maguire,6,Fantasy,5
Spider-Man: Homecoming,Sony,334201140,4348,117027503,4348,7/7/2017,Jon Watts,Tom Holland,7,Action,7
Spider-Man: Into The Spider-Verse,Sony,190241310,3813,35363376,3813,12/14/2018,Bob Persichetti,Shameik Moore,8,Action,12
Spirit: Stallion of the Cimarron,DW,73280117,3362,17770036,3317,5/24/2002,Kelly Asbury,Matt Damon,8,Western,5
Split,Uni.,138291365,3373,40010975,3038,1/20/2017,M. Night Shyamalan,James McAvoy,5,Drama,1
Spotlight,ORF,45055776,1227,295009,5,11/6/2015,Tom McCarthy,Mark Ruffalo,8,Drama,11
Spy,Fox,110825712,3715,29085719,3711,6/5/2015,Paul Feig,Melissa McCarthy,7,Action,6
Spy Game,Uni.,62362560,2770,21689125,2770,11/21/2001,,,7,Action,11
Spy Kids,Mira.,112719001,3191,26546881,3104,3/30/2001,Robert Rodriguez,Alexa PenaVega,6,Action,3
Spy Kids 2: The Island of Lost Dreams,Dim.,85846429,3307,16711716,3307,8/7/2002,Robert Rodriguez,Alexa PenaVega,6,Action,8
Spy Kids: All the Time in the World,W/Dim.,38538188,3305,11644672,3295,8/19/2011,Robert Rodriguez,Jessica Alba,5,Family,8
St. Vincent,Wein.,44137712,2552,109878,4,10/10/2014,Theodore Melfi,Bill Murray,7,Comedy,10
Star Trek,Par.,257730019,4053,75204289,3849,5/8/2009,Gene Roddenberry,William Shatner,7,Science Fiction,5
Star Trek Beyond,Par.,158848340,3928,59253211,3928,7/22/2016,Justin Lin,Chris Pine,7,Action,7
Star Trek Into Darkness,Par.,228778661,3907,70165559,3868,5/16/2013,J.J. Abrams,Chris Pine,7,Action,5
Star Trek: Nemesis,Par.,43254409,2711,18513305,2711,12/13/2002,Stuart Baird,Patrick Stewart,6,Science Fiction,12
Star Wars: Episode I - The Phantom Menace,Fox,431088295,3126,64820970,2970,5/19/1999,George Lucas,Liam Neeson,6,Adventure,5
Star Wars: Episode II - Attack of the Clones,Fox,302191252,3161,80027814,3161,5/16/2002,George Lucas,Hayden Christensen,7,Adventure,5
Star Wars: Episode III - Revenge of the Sith,Fox,380270577,3663,108435841,3661,5/19/2005,George Lucas,Hayden Christensen,7,Science Fiction,5
Star Wars: The Clone Wars,WB,35161554,3452,14611273,3452,8/15/2008, Dave Filoni,Matt Lanter,6,Animation,8
Star Wars: The Force Awakens,BV,936662225,4134,247966675,4134,12/18/2015,J.J. Abrams,Daisy Ridley,7,Action,12
Star Wars: The Last Jedi,BV,620181382,4232,220009584,4232,12/15/2017,Rian Johnson,Daisy Ridley,7,Fantasy,12
Stardust,Par.,38634938,2565,9169779,2540,8/10/2007,Matthew Vaughn," 
Claire Danes",7,Adventure,8
State of Play,Uni.,37017955,2807,14071280,2803,4/17/2009, Kevin Macdonald," 
Russell Crowe",7,Thriller,4
Stealth,Sony,32116746,3495,13251545,3495,7/29/2005,Rob Cohen,Josh Lucas,5,Action,7
Step Brothers,Sony,100468793,3182,30940732,3094,7/25/2008, Adam McKay,Will Ferrell,7,Comedy,7
Step Up,BV,65328121,2647,20659573,2467,8/11/2006,Anne Fletcher,Channing Tatum,7,Music,8
Step Up Revolution,LG/S,35074677,2606,11731708,2567,7/27/2012,Scott Speer,Kathryn McCormick,7,Music,7
Stigmata,MGM,50046268,2901,18309666,2899,9/10/1999,Rupert Wainwright,Patricia Arquette,6,Horror,9
Stir of Echoes,Art.,21142914,1943,5811664,1888,9/10/1999,David Koepp,Kevin Bacon,7,Horror,9
Stomp the Yard,SGem,61356221,2169,21833312,2051,1/12/2007,Sylvain White, Columbus Short,6,Drama,1
Storks,WB,72679278,3922,21311407,3922,9/23/2016,Nicholas Stoller,Andy Samberg,7,Adventure,9
Straight Outta Compton,Uni.,161197785,3142,60200180,2757,8/14/2015,F. Gary Gray,OShea Jackson Jr.,8,Drama,8
Stranger Than Fiction,Sony,40660952,2270,13411093,2264,11/10/2006,Marc Forster,Will Ferrell,6,Comedy,11
Stuart Little,Sony,140035367,3151,15018223,2878,12/17/1999,Rob Minkoff,Geena Davis,6,Animation,12
Stuart Little 2,Sony,64956806,3282,15115152,3255,7/19/2002,Rob Minkoff,Michael J. Fox,6,Family,7
Stuck on You,Fox,33832741,3007,9411055,3003,12/12/2003,Bobby Farrelly,Matt Damon,5,Comedy,12
Sucker Punch,WB,36392502,3033,19058199,3033,3/25/2011,Zack Snyder,Emily Browning,4,Action,3
Suicide Squad,WB,325100054,4255,133682248,4255,8/5/2016,David Ayer,Will Smith,6,Action,8
Sully,WB,125070033,3955,35028301,3525,9/9/2016,Clint Eastwood,Tom Hanks,7,Drama,9
Summer of Sam,BV,19288130,1536,5952452,1536,7/2/1999,Spike Lee,John Leguizamo,7,Thriller,7
Super 8,Par.,127004179,3424,35451168,3379,6/10/2011,J.J. Abrams,Elle Fanning,7,Thriller,6
Super Troopers 2,Fox,30617396,2125,15181624,2038,4/20/2018,Jay Chandrasekhar,Jay Chandrasekhar,6,Comedy,4
Superbad,Sony,121463226,3069,33052411,2948,8/17/2007,Greg Mottola,Jonah Hill,7,Comedy,8
Superman Returns,WB,200081192,4065,52535096,4065,6/28/2006,Bryan Singer,Brandon Routh,6,Adventure,6
Superstar,Par.,30636478,2016,8912743,1943,10/8/1999,Bruce McCulloch,Molly Shannon,5,Comedy,10
Surrogates,BV,38577772,2992,14902692,2951,9/25/2009, Jonathan Mostow," 
Bruce Willis",6,Action,9
Sweeney Todd: The Demon Barber of Fleet Street,P/DW,52898073,1507,9300805,1249,12/21/2007,Tim Burton,Johnny Depp,7,Drama,12
Sweet Home Alabama,BV,127223418,3313,35648740,3293,9/27/2002,Andy Tennant,Reese Witherspoon,6,Comedy,9
Sweet November,WB,25288103,2268,9733954,2268,2/16/2001,Pat OConnor,Keanu Reeves,7,Drama,2
SwimFan,Fox,28564995,2860,11326601,2856,9/6/2002,John Polson,Jesse Bradford,5,Thriller,9
Swordfish,WB,69772969,2688,18145632,2678,6/8/2001,Dominic Sena,John Travolta,6,Action,6
Syriana,WB,50824620,1775,374502,5,11/23/2005,Stephen Gaghan,George Clooney,6,Drama,11
Tag,WB (NL),54730625,3382,14947396,3382,6/15/2018,Jeff Tomsic,Jeremy Renner,4,Drama,6
Take the Lead,NL,34742066,3009,12051277,3009,4/7/2006,Liz Friedlander,Antonio Banderas,7,Comedy,4
Taken,Fox,145000989,3184,24717037,3183,1/30/2009,Pierre Morel," 
Liam Neeson",7,Action,1
Taken 2,Fox,139854287,3706,49514769,3661,10/5/2012,Olivier Megaton,Liam Neeson,6,Action,10
Taken 3,Fox,89256424,3594,39201657,3594,1/9/2015,Olivier Megaton,Liam Neeson,6,Thriller,1
Takers,SGem,57744720,2206,20512304,2206,8/27/2010,John Luessenhop," 
Matt Dillon",6,Action,8
Taking Lives,WB,32682342,2705,11458465,2705,3/19/2004,D.J. Caruso,Angelina Jolie,6,Action,3
Talladega Nights: The Ballad of Ricky Bobby,Sony,148213377,3807,47042215,3803,8/4/2006,Adam McKay,Will Ferrell,6,Comedy,8
Tammy,WB (NL),84525432,3465,21577049,3465,7/2/2014,Ben Falcone,Melissa McCarthy,5,Comedy,7
Tangled,BV,200821936,3603,48767052,3603,11/24/2010,Nathan Greno," 
Mandy Moore",6,Drama,11
Tarzan,BV,171091819,3131,34221968,3005,6/16/1999,Kevin Lima,Tony Goldwyn,7,Adventure,6
Taxi,Fox,36611066,3001,12029832,3001,10/6/2004,Tim Story,Queen Latifah,7,Action,10
Team America: World Police,Par.,32786074,2620,12120358,2539,10/15/2004,Trey Parker,Trey Parker,7,Music,10
Tears of the Sun,SonR,43734876,2973,17057213,2973,3/7/2003,Antoine Fuqua,Bruce Willis,7,Action,3
Ted,Uni.,218815487,3303,54415205,3239,6/29/2012,Seth MacFarlane,Mark Wahlberg,6,Comedy,6
Ted 2,Uni.,81476385,3448,33507870,3442,6/26/2015,Seth MacFarlane,Mark Wahlberg,6,Comedy,6
Teen Titans Go! To The Movies,WB,29790236,3188,10411189,3188,7/27/2018,Aaron Horvath,Greg Cipes,7,Animation,7
Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,82051601,4071,35316382,4071,6/3/2016,Dave Green,Megan Fox,6,Action,6
Terminator 3: Rise of the Machines,WB,150371112,3504,44041440,3504,7/2/2003,Jonathan Mostow,Arnold Schwarzenegger,6,Action,7
Terminator Salvation,WB,125322469,3602,42558390,3530,5/21/2009,McG," 
Christian Bale",6,Action,5
Texas Chainsaw 3D,LGF,34341945,2659,21744470,2654,1/4/2013,John Luessenhop,Alexandra Daddario,5,Horror,1
That Awkward Moment,Focus,26068955,2809,8742109,2809,1/31/2014,Tom Gormican,Zac Efron,6,Comedy,1
The 13th Warrior,BV,32698899,2313,10267756,2306,8/27/1999,John McTiernan,Antonio Banderas,7,Adventure,8
The 15:17 to Paris,WB,36276286,3042,12554286,3042,2/9/2018,Clint Eastwood,Alek Skarlatos,5,Drama,2
The 5th Wave,Sony,34916787,2908,10326356,2908,1/22/2016,J Blakeson,Chloë Grace Moretz,6,Adventure,1
The 6th Day,Sony,34604280,2516,13020883,2516,11/17/2000,Roger Spottiswoode,Arnold Schwarzenegger,6,Mystery,11
The Accountant,WB,86260045,3402,24710273,3332,10/14/2016,Gavin OConnor,Ben Affleck,8,Comedy,10
